company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact,DottyRank
fanatics,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,1
farfetch,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
fashion nova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
fashion3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
fast retailing,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
fast-retailing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fatface,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
feelgoodz llc,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
fendi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0
fenix outdoor international ag,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fenix-outdoor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fgv-holdings,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
figs,116.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
fila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0
finisterre,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
fjällräven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,2
flavia aranha comércio e confecção eireli - me,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
florsheim shoes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
follett-higher-education-group,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fond of gmbh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
foot locker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0
forever 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0
forty-seven-brand,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
forum fairer handel e.v.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
foschini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0
fossil,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0
frank & eileen,179.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
freddie's flowers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
free people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0
